@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R4-9

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute class {Stop,North,South,East,West}

@data
1,18,4,Stop
1,18,4,Stop
1,18,4,Stop
1,18,4,Stop
1,18,4,Stop
1,18,4,Stop
1,17,4,South
1,16,4,South
1,15,4,South
1,14,4,South
1,13,4,South
1,12,4,South
1,11,4,South
1,10,4,South
1,9,4,South
1,8,4,South
1,7,4,South
1,6,4,South
1,5,4,South
2,5,4,East
3,5,3,East
4,5,3,East
5,5,3,East
5,5,3,East
5,6,3,North
4,6,2,West
4,5,2,South
4,4,2,South
4,3,2,South
3,3,1,West
2,3,1,West
3,3,1,East
1,18,4,Stop
1,18,4,Stop
1,17,4,South
1,16,4,South
1,15,4,South
1,14,4,South
1,13,4,South
1,12,4,South
1,11,4,South
1,10,4,South
1,9,4,South
1,8,4,South
1,7,4,South
1,6,4,South
1,5,4,South
1,4,4,South
2,4,4,East
2,3,3,South
1,3,2,West
1,4,2,North
2,4,2,East
3,4,2,East
4,4,2,East
5,4,2,East
5,5,2,North
5,6,2,North
6,6,1,East
6,7,1,North
6,8,1,North
6,9,1,North
1,18,4,Stop
1,18,4,Stop
1,18,4,Stop
1,17,4,South
1,16,4,South
1,15,4,South
1,14,4,South
1,13,4,South
1,12,4,South
1,11,4,South
1,10,4,South
1,9,4,South
1,8,4,South
1,7,4,South
1,6,4,South
2,6,4,East
3,6,4,East
3,7,4,North
3,8,4,North
3,9,4,North
4,9,4,East
5,9,3,East
6,9,3,East
6,8,3,South
6,7,3,South
6,6,3,South
7,6,3,East
8,6,3,East
9,6,3,East
10,6,3,East
10,5,3,South
10,4,3,South
10,3,3,South
10,4,3,North
11,4,3,East
11,3,2,South
11,4,2,North
11,5,2,North
11,6,2,North
11,7,2,North
11,8,2,North
11,9,2,North
11,10,2,North
11,11,2,North
11,12,2,North
12,12,2,East
13,12,2,East
13,11,2,South
13,10,2,South
13,9,2,South
13,8,2,South
13,7,2,South
13,6,2,South
14,6,2,East
15,6,2,East
16,6,2,East
17,6,1,East
18,6,1,East
19,6,1,East
20,6,1,East
21,6,1,East
22,6,1,East
23,6,1,East
24,6,1,East
25,6,1,East
1,18,4,Stop
1,18,4,Stop
1,17,4,South
1,16,4,South
1,15,4,South
1,14,4,South
1,13,4,South
1,12,4,South
1,11,4,South
1,10,4,South
1,9,4,South
1,8,4,South
1,7,4,South
1,6,4,South
2,6,4,East
3,6,4,East
4,6,4,East
5,6,4,East
5,7,4,North
4,7,4,West
4,8,3,North
3,8,3,West
3,7,3,South
4,7,3,East
5,7,3,East
5,6,3,South
6,6,3,East
7,6,3,East
8,6,3,East
9,6,3,East
9,7,3,North
9,8,3,North
9,7,3,South
9,6,3,South
9,5,3,South
9,6,3,North
10,6,3,East
11,6,3,East
11,7,3,North
10,7,3,West
10,8,3,North
10,9,3,North
9,9,3,West
9,8,3,South
10,8,3,East
10,7,3,South
10,6,2,South
10,7,2,North
10,8,2,North
10,9,2,North
10,10,2,North
10,11,2,North
10,12,2,North
11,12,2,East
12,12,2,East
13,12,2,East
13,11,2,South
13,10,2,South
13,9,2,South
13,8,2,South
13,7,2,South
13,6,2,South
13,5,2,South
14,5,2,East
14,5,2,East
14,4,2,South
15,4,2,East
16,4,2,East
16,3,2,South
17,3,2,East
17,4,2,North
18,4,2,East
19,4,2,East
20,4,1,East
21,4,1,East
22,4,1,East
23,4,1,East
23,5,1,North
24,5,1,East
25,5,1,East
25,4,1,South
25,3,1,South
26,3,1,East
27,3,1,East
28,3,1,East
28,3,1,East
12,10,4,Stop
12,10,4,Stop
12,10,4,Stop
13,10,4,East
14,10,4,East
14,11,4,North
13,11,4,West
13,12,4,North
13,13,4,North
14,13,4,East
14,14,3,North
14,14,3,North
14,13,3,South
14,12,3,South
14,11,3,South
14,10,3,South
14,9,3,South
13,9,3,West
13,8,3,South
13,7,3,South
12,7,3,West
12,8,3,North
13,8,2,East
12,8,2,West
11,8,2,West
10,8,2,West
9,8,2,West
8,8,2,West
8,9,2,North
8,10,2,North
8,11,2,North
8,12,2,North
7,12,2,West
6,12,2,West
5,12,2,West
4,12,2,West
3,12,1,West
4,12,1,East
5,12,1,East
6,12,1,East
7,12,1,East
7,11,1,South
7,10,1,South
7,9,1,South
7,8,1,South
7,7,1,South
7,6,1,South
6,6,1,West
5,6,1,West
12,10,4,Stop
12,10,4,Stop
12,10,4,Stop
13,10,4,East
14,10,4,East
14,11,4,North
13,11,4,West
13,12,3,North
13,11,3,South
13,10,3,South
13,9,3,South
13,8,3,South
13,7,3,South
13,6,2,South
12,6,2,West
11,6,2,West
10,6,2,West
9,6,2,West
8,6,2,West
7,6,2,West
6,6,2,West
5,6,1,West
5,7,1,North
6,7,1,East
6,8,1,North
6,9,1,North
6,10,1,North
6,11,1,North
6,12,1,North
1,11,4,Stop
1,11,4,Stop
1,11,4,Stop
1,11,4,Stop
2,11,4,East
3,11,4,East
4,11,4,East
5,11,4,East
5,10,4,South
5,9,4,South
6,9,3,East
6,10,3,North
6,11,3,North
7,11,3,East
8,11,2,East
9,11,2,East
10,11,2,East
10,10,2,South
10,9,2,South
11,9,2,East
12,9,2,East
13,9,2,East
14,9,2,East
14,8,2,South
14,7,2,South
14,6,1,South
14,5,1,South
13,5,1,West
